From	To	Species	Gene Name
ENSBTAG00000002069	BOLA	Bos taurus	MHC class I heavy chain(BOLA)
ENSBTAG00000003399	SMARCA5	Bos taurus	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5(SMARCA5)
ENSBTAG00000002068	TAGLN2	Bos taurus	transgelin 2(TAGLN2)
ENSBTAG00000042974	LOC112441942	Bos taurus	small nucleolar RNA SNORD24(LOC112441942)
ENSBTAG00000040313	PARS2	Bos taurus	prolyl-tRNA synthetase 2, mitochondrial(PARS2)
ENSBTAG00000026016	PAG17	Bos taurus	pregnancy-associated glycoprotein 17(PAG17)
ENSBTAG00000003398	KCNG1	Bos taurus	potassium voltage-gated channel modifier subfamily G member 1(KCNG1)
ENSBTAG00000042973	LOC112442819	Bos taurus	small nucleolar RNA U2-30(LOC112442819)
ENSBTAG00000003397	CTBP2	Bos taurus	C-terminal binding protein 2(CTBP2)
ENSBTAG00000042972	LOC112443065	Bos taurus	U6 spliceosomal RNA(LOC112443065)
ENSBTAG00000002066	MYL7	Bos taurus	myosin light chain 7(MYL7)
ENSBTAG00000027348	OOSP2	Bos taurus	oocyte secreted protein 2(OOSP2)
ENSBTAG00000015371	GABPB2	Bos taurus	GA binding protein transcription factor subunit beta 2(GABPB2)
ENSBTAG00000014043	ERCC5	Bos taurus	ERCC excision repair 5, endonuclease(ERCC5)
ENSBTAG00000030993	LCA5L	Bos taurus	lebercilin LCA5 like(LCA5L)
ENSBTAG00000014044	VEZT	Bos taurus	vezatin, adherens junctions transmembrane protein(VEZT)
ENSBTAG00000030994	ANKS1B	Bos taurus	ankyrin repeat and sterile alpha motif domain containing 1B(ANKS1B)
ENSBTAG00000015375	SH2D3C	Bos taurus	SH2 domain containing 3C(SH2D3C)
ENSBTAG00000039321	SAO	Bos taurus	amine oxidase, copper containing 3(SAO)
ENSBTAG00000014041	G3BP2	Bos taurus	G3BP stress granule assembly factor 2(G3BP2)
ENSBTAG00000015373	AADACL3	Bos taurus	arylacetamide deacetylase like 3(AADACL3)
ENSBTAG00000014042	TLR10	Bos taurus	toll like receptor 10(TLR10)
ENSBTAG00000015378	CCDC180	Bos taurus	coiled-coil domain containing 180(CCDC180)
ENSBTAG00000014048	SHLD1	Bos taurus	shieldin complex subunit 1(SHLD1)
ENSBTAG00000030990	UQCC1	Bos taurus	ubiquinol-cytochrome c reductase complex assembly factor 1(UQCC1)
ENSBTAG00000015379	UBOX5	Bos taurus	U-box domain containing 5(UBOX5)
ENSBTAG00000015376	FBXW11	Bos taurus	F-box and WD repeat domain containing 11(FBXW11)
ENSBTAG00000039325	GYPA	Bos taurus	glycophorin A (MNS blood group)(GYPA)
ENSBTAG00000015377	EPHB1	Bos taurus	EPH receptor B1(EPHB1)
ENSBTAG00000014046	BPI	Bos taurus	bactericidal permeability increasing protein(BPI)
ENSBTAG00000039326	LOC520336	Bos taurus	N-acetyllactosaminide beta-1,6-N-acetylglucosaminyl-transferase(LOC520336)
ENSBTAG00000015349	C3H1orf56	Bos taurus	chromosome 3 C1orf56 homolog(C3H1orf56)
ENSBTAG00000039316	ZNF268	Bos taurus	zinc finger protein 268(ZNF268)
ENSBTAG00000015347	WNT10B	Bos taurus	Wnt family member 10B(WNT10B)
ENSBTAG00000014016	IKZF1	Bos taurus	IKAROS family zinc finger 1(IKZF1)
ENSBTAG00000016679	ETFDH	Bos taurus	electron transfer flavoprotein dehydrogenase(ETFDH)
ENSBTAG00000042966	LOC112443367	Bos taurus	U6 spliceosomal RNA(LOC112443367)
ENSBTAG00000015348	ZNF189	Bos taurus	zinc finger protein 189(ZNF189)
ENSBTAG00000014017	PCGF3	Bos taurus	polycomb group ring finger 3(PCGF3)
ENSBTAG00000040304	LOC616094	Bos taurus	5-hydroxytryptamine receptor 3E(LOC616094)
ENSBTAG00000039319	CYP4F2	Bos taurus	cytochrome P450, family 4, subfamily F, polypeptide 2(CYP4F2)
ENSBTAG00000029990	MIR128-1	Bos taurus	microRNA mir-128-1(MIR128-1)
ENSBTAG00000040307	OR2W2	Bos taurus	olfactory receptor family 2 subfamily W member 2(OR2W2)
ENSBTAG00000040308	RPS13	Bos taurus	ribosomal protein S13(RPS13)
ENSBTAG00000029993	MIR181B-1	Bos taurus	microRNA mir-181b-1(MIR181B-1)
ENSBTAG00000004695	CDK9	Bos taurus	cyclin dependent kinase 9(CDK9)
ENSBTAG00000029994	MIRLET7I	Bos taurus	microRNA let-7i(MIRLET7I)
ENSBTAG00000003362	HSP90B1	Bos taurus	heat shock protein 90 beta family member 1(HSP90B1)
ENSBTAG00000029991	MIR34C	Bos taurus	microRNA mir-34c(MIR34C)
ENSBTAG00000003361	METTL15	Bos taurus	methyltransferase like 15(METTL15)
ENSBTAG00000002030	SPP2	Bos taurus	secreted phosphoprotein 2(SPP2)
ENSBTAG00000002036	CACNB1	Bos taurus	calcium voltage-gated channel auxiliary subunit beta 1(CACNB1)
ENSBTAG00000026003	GUCY2F	Bos taurus	guanylate cyclase 2F, retinal(GUCY2F)
ENSBTAG00000029998	MIR200A	Bos taurus	microRNA mir-200a(MIR200A)
ENSBTAG00000003366	RIGI	Bos taurus	RNA sensor RIG-I(RIGI)
ENSBTAG00000004692	LOC505199	Bos taurus	60S ribosomal protein L9 pseudogene(LOC505199)
ENSBTAG00000042963	LOC112444964	Bos taurus	small nucleolar RNA SNORA8(LOC112444964)
ENSBTAG00000002034	MFSD2B	Bos taurus	major facilitator superfamily domain containing 2B(MFSD2B)
ENSBTAG00000004693	CCDC60	Bos taurus	coiled-coil domain containing 60(CCDC60)
ENSBTAG00000003365	GDPD1	Bos taurus	glycerophosphodiester phosphodiesterase domain containing 1(GDPD1)
